sample,image name,species,otolith label,otolith length,fish length(FL)mm,fish weight(FW)gr
1,1.jpg,Norway Pout,1,4.24,96.67,6
1,1.jpg,Norway Pout,2,3.72,84.84,3.93
1,1.jpg,Norway Pout,3,3.97,90.61,4.86
1,1.jpg,Norway Pout,4,4.24,96.74,6.01
1,1.jpg,Norway Pout,5,4.28,97.49,6.17
1,1.jpg,Norway Pout,6,4.09,93.21,5.33
1,1.jpg,Norway Pout,7,3.67,83.72,3.76
1,1.jpg,Norway Pout,8,4,91.2,4.97
1,1.jpg,Norway Pout,9,4.51,102.74,7.31
1,1.jpg,Norway Pout,10,3.89,88.65,4.53
1,1.jpg,Norway Pout,11,3.91,89.08,4.6
1,2.jpg,Norway Pout,1,3.88,88.4,4.49
1,2.jpg,Norway Pout,2,3.97,90.49,4.84
1,2.jpg,Norway Pout,3,4.05,92.25,5.15
1,2.jpg,Norway Pout,4,3.99,90.95,4.92
1,2.jpg,Norway Pout,5,4.09,93.27,5.34
1,2.jpg,Norway Pout,6,4.1,93.48,5.38
1,2.jpg,Norway Pout,7,3.95,89.99,4.76
1,2.jpg,Norway Pout,8,3.71,84.66,3.9
1,2.jpg,Norway Pout,9,3.89,88.65,4.53
1,2.jpg,Norway Pout,10,3.97,90.42,4.83
1,3.jpg,Norway Pout,1,3.8,86.69,4.21
1,3.jpg,Norway Pout,2,3.9,88.81,4.56
1,3.jpg,Norway Pout,3,3.76,85.82,4.08
1,3.jpg,Norway Pout,4,3.87,88.12,4.44
1,3.jpg,Norway Pout,5,3.88,88.49,4.5
1,3.jpg,Norway Pout,6,3.98,90.65,4.87
1,3.jpg,Norway Pout,7,4.11,93.71,5.42
1,3.jpg,Norway Pout,8,3.86,88.08,4.44
1,3.jpg,Norway Pout,9,3.83,87.39,4.33
1,3.jpg,Norway Pout,10,3.66,83.54,3.74
1,3.jpg,Norway Pout,11,3.54,80.78,3.35
1,3.jpg,Norway Pout,12,3.68,83.9,3.79
1,3.jpg,Norway Pout,13,3.85,87.67,4.37
1,3.jpg,Norway Pout,14,3.5,79.69,3.21
1,4.jpg,Norway Pout,1,3.47,79.16,3.14
1,4.jpg,Norway Pout,2,3.59,81.78,3.49
1,4.jpg,Norway Pout,3,3.99,91.06,4.94
1,4.jpg,Norway Pout,4,3.58,81.67,3.47
1,4.jpg,Norway Pout,5,3.27,74.49,2.58
1,4.jpg,Norway Pout,6,3.33,75.95,2.75
1,4.jpg,Norway Pout,7,3.71,84.59,3.89
1,4.jpg,Norway Pout,8,3.58,81.62,3.47
1,4.jpg,Norway Pout,9,3.56,81.17,3.41
1,4.jpg,Norway Pout,10,3.24,73.89,2.51
1,4.jpg,Norway Pout,11,3.28,74.78,2.61
1,4.jpg,Norway Pout,12,3.35,76.4,2.8
1,4.jpg,Norway Pout,13,3.35,76.29,2.79
1,4.jpg,Norway Pout,14,3.46,78.82,3.1
1,4.jpg,Norway Pout,15,3.13,71.43,2.25
1,4.jpg,Norway Pout,16,3.34,76.06,2.76
1,4.jpg,Norway Pout,17,3.08,70.32,2.14
1,4.jpg,Norway Pout,18,3.46,78.87,3.1
1,4.jpg,Norway Pout,19,3.22,73.51,2.47
1,4.jpg,Norway Pout,20,3.4,77.45,2.93
1,5.jpg,Norway Pout,1,5.01,114.27,10.31
1,5.jpg,Norway Pout,2,4.35,99.2,6.52
1,5.jpg,Norway Pout,3,5.04,114.98,10.52
1,5.jpg,Norway Pout,4,5.15,117.37,11.25
1,5.jpg,Norway Pout,5,4.87,111.1,9.42
1,5.jpg,Norway Pout,6,5.03,114.64,10.42
1,5.jpg,Norway Pout,7,4.67,106.45,8.2
1,5.jpg,Norway Pout,8,5.06,115.44,10.66
1,5.jpg,Norway Pout,9,4.83,110.12,9.15
1,5.jpg,Norway Pout,10,5.05,115.05,10.54
1,5.jpg,Norway Pout,11,4.79,109.26,8.92
1,5.jpg,Norway Pout,12,5.39,122.89,13.05
1,5.jpg,Norway Pout,13,4.8,109.49,8.98
1,6.jpg,Norway Pout,1,4.48,102.08,7.16
1,6.jpg,Norway Pout,2,4.19,95.51,5.77
1,6.jpg,Norway Pout,3,3.96,90.36,4.82
1,6.jpg,Norway Pout,4,4.41,100.62,6.83
1,6.jpg,Norway Pout,5,3.87,88.26,4.47
1,6.jpg,Norway Pout,6,4.49,102.35,7.22
1,6.jpg,Norway Pout,7,4.39,100.14,6.72
1,6.jpg,Norway Pout,8,4.13,94.16,5.51
1,6.jpg,Norway Pout,9,4.31,98.29,6.33
1,6.jpg,Norway Pout,10,4.82,109.92,9.09
1,6.jpg,Norway Pout,11,4.43,100.94,6.9
1,6.jpg,Norway Pout,12,4.34,99.04,6.49
1,6.jpg,Norway Pout,13,4.21,96.03,5.87
1,6.jpg,Norway Pout,14,3.99,90.95,4.92
1,6.jpg,Norway Pout,15,4.14,94.32,5.54
1,7.jpg,Norway Pout,1,4.83,110.08,9.14
1,7.jpg,Norway Pout,2,4.06,92.59,5.22
1,7.jpg,Norway Pout,3,4.34,98.93,6.46
1,7.jpg,Norway Pout,4,3.97,90.61,4.86
1,7.jpg,Norway Pout,5,4.36,99.36,6.56
1,7.jpg,Norway Pout,6,4.81,109.76,9.05
1,7.jpg,Norway Pout,7,4.41,100.43,6.79
1,7.jpg,Norway Pout,8,3.97,90.56,4.86
1,7.jpg,Norway Pout,9,4.55,103.79,7.55
1,7.jpg,Norway Pout,10,4.47,101.98,7.13
1,7.jpg,Norway Pout,11,4.46,101.73,7.08
1,7.jpg,Norway Pout,12,4.34,98.86,6.45
